subject_id	subject_label	predicate_id	object_id	object_label	confidence	comment	mapping_justification	mapping_date	author_id
LTER:182	estuary	skos:exactMatch	ENVO:00000045	estuary	1		LTER "estuaries" has a "use for" relationship with LTER "estuary".	2022-09-06	https://orcid.org/0000-0003-2261-9931
LTER:482	salt marshes	skos:exactMatch	ENVO:00000054	saline marsh	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-09-07	https://orcid.org/0000-0003-2261-9931
LTER:966	minirhizotrons	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:114	community	skos:exactMatch	PCO:0000029	multi-species collection of organisms	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-10-17	https://orcid.org/0000-0003-2261-9931
LTER:305	litter fall	skos:exactMatch	ENVO:01000628	plant litter	1		The subject definition matches the object definition exactly.	2022-09-07	https://orcid.org/0000-0003-2261-9931
LTER:235	ground water	skos:exactMatch	ENVO:01001004	groundwater	1		The subject definition matches the object definition exactly.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:352	morphology	skos:exactMatch	UBERON:0034768	morphological feature	1		The subject definition matches the object definition exactly.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:591	total organic carbon	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:503	shrubs	skos:relatedMatch	ENVO:01000336	shrub layer	1		The subject and object do not exhibit a close or exact match, and are not hierarchically related, but are related.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:450	productivity	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:276	isotopes	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:273	Fe	skos:exactMatch	CHEBI:18248	iron atom	1		The object is undefined but the context within the vocabulary tree makes it clear that alignment is exact.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:911	nitrogen flux	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:445	predators	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:427	plant ecology	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:455	rain	skos:exactMatch	ENVO:01001564	rain	1		The subject definition matches the object definition exactly.	2022-09-08	https://orcid.org/0000-0003-2261-9931
LTER:948	debris flows	skos:exactMatch	ENVO:01000698	debris flow	1		The subject definition matches the object definition exactly.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:371	NO2	skos:exactMatch	CHEBI:16301	nitrite	1		The subject definition matches the object definition exactly.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:579	temperature	skos:exactMatch	PATO:0000146	temperature	1		The subject definition matches the object definition exactly.	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:477	roots	skos:exactMatch	PO:0009005	root	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:57	basidiomycetes	skos:exactMatch	FOODON:03412035	basidiomycetes	0.5	Uncertainty lies in definition matching.	The subject label matches the object label exactly.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:660	geological processes	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:1004	plant height	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:901	budburst	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:36	annual net primary production	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:630	wetland	skos:exactMatch	ENVO:01001209	wetland ecosystem	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:222	gastropods	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
